
Election présidentielle 2022
Période du 8 au 20 mars 2022
Temps de parole sur DUPONT AIGNAN NICOLAS

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
SudRadio;"Total temps de parole";00:01:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";00:01:00;00:01:00;00:00:00;00:00:00;
TV5Monde;Candidat;00:10:10;00:00:00;00:16:39;00:00:00;
TV5Monde;Soutiens;00:00:28;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:10:38;00:00:00;00:16:39;00:00:00;
TV5Monde;"Total temps d'antenne";00:11:30;00:00:00;00:17:44;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:01:31;
RFI;Candidat;00:00:00;00:00:00;00:00:37;00:00:00;
RFI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RFI;"Total temps de parole";00:00:00;00:00:00;00:00:37;00:00:00;
RFI;"Total temps d'antenne";00:00:00;00:00:00;00:00:37;00:00:00;
France24;Candidat;00:00:44;00:00:00;00:00:11;00:00:00;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:00:44;00:00:00;00:00:11;00:00:00;
France24;"Total temps d'antenne";00:00:49;00:00:13;00:01:01;00:00:00;
"RMC Story";Candidat;00:00:28;00:00:12;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:00:28;00:00:12;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:01:19;00:00:47;00:00:00;00:00:00;
